section,model,subset,n,value,note
information,,,10,0.0,H(task|nouns) bits
information,,,10,1.551,H(task|verbs) bits
wrong_action_split,smolvla,antonym,60,0.5167,orig=0.7333 delta_pp=21.7
wrong_action_split,smolvla,near-syn,140,0.7,orig=0.8071 delta_pp=10.7
wrong_action_split,openvla,antonym,40,0.3,orig=0.7143 delta_pp=41.4
wrong_action_split,openvla,near-syn,90,0.7333,orig=0.7000 delta_pp=-3.3
wrong_action_split,openvla_oft,antonym,60,0.9167,orig=0.9667 delta_pp=5.0
wrong_action_split,openvla_oft,near-syn,140,0.9571,orig=0.9786 delta_pp=2.1
wrong_object_compliance,smolvla,task4->task2,20,0.85,did_original=0
wrong_object_compliance,openvla,task4->task2,10,0.8,did_original=0
wrong_object_compliance,openvla_oft,task4->task2,20,1.0,did_original=0
word_class_ablation,openvla,verb_dropped,120,0.7917,orig=0.7050
word_class_ablation,openvla,nouns_masked,120,0.0917,orig=0.7050
word_class_ablation,openvla_oft,verb_dropped,200,0.955,orig=0.9750
word_class_ablation,openvla_oft,nouns_masked,200,0.24,orig=0.9750
